ip.len,udp.length,dns.flags.authoritative,dns.flags.recdesired,dns.flags.recavail,dns.flags.checkdisable,dns.count.answers,dns.count.auth_rr,dns.qry.type,target
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
1492.0,2436.0,0.0,1.0,1.0,0.0,12.0,0.0,255.0,1.0
563.0,543.0,1.0,0.0,0.0,0.0,0.0,4.0,43.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
372.0,352.0,0.0,0.0,0.0,1.0,0.0,5.0,12.0,0.0
534.0,514.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
346.0,326.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,0.0
1500.0,4014.0,0.0,1.0,1.0,0.0,14.0,0.0,255.0,1.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
538.0,518.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
796.0,776.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
558.0,538.0,1.0,0.0,0.0,1.0,0.0,4.0,12.0,0.0
111.0,91.0,0.0,1.0,1.0,0.0,1.0,0.0,255.0,1.0
539.0,519.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
352.0,332.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,0.0
1500.0,3307.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
1500.0,3312.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
580.0,560.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
410.0,390.0,0.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,3661.0,0.0,1.0,1.0,0.0,15.0,0.0,255.0,1.0
505.0,485.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,0.0
340.0,320.0,1.0,0.0,0.0,1.0,3.0,0.0,43.0,0.0
1500.0,3311.0,0.0,1.0,1.0,0.0,200.0,2.0,255.0,1.0
64.0,44.0,0.0,1.0,1.0,0.0,0.0,0.0,255.0,1.0
1500.0,3661.0,0.0,1.0,1.0,0.0,15.0,0.0,255.0,1.0
825.0,805.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
559.0,539.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
581.0,561.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
534.0,514.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
816.0,796.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
376.0,356.0,0.0,0.0,0.0,1.0,0.0,5.0,12.0,0.0
807.0,787.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
801.0,781.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
583.0,563.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
1500.0,3312.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
817.0,797.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
809.0,789.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
559.0,539.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
353.0,333.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
825.0,805.0,0.0,1.0,1.0,0.0,2.0,13.0,255.0,1.0
810.0,790.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
400.0,380.0,0.0,0.0,0.0,1.0,0.0,5.0,12.0,0.0
554.0,534.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
832.0,812.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
772.0,752.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
375.0,355.0,0.0,0.0,0.0,1.0,0.0,3.0,12.0,0.0
383.0,363.0,0.0,0.0,0.0,1.0,0.0,5.0,12.0,0.0
815.0,795.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
798.0,778.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
1492.0,3291.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
1500.0,3291.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
559.0,539.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
556.0,536.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
804.0,784.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
64.0,44.0,0.0,1.0,1.0,0.0,0.0,0.0,255.0,1.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
810.0,790.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
553.0,533.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
809.0,789.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
1500.0,3661.0,0.0,1.0,1.0,0.0,15.0,0.0,255.0,1.0
343.0,323.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,0.0
511.0,491.0,0.0,1.0,1.0,0.0,1.0,13.0,255.0,1.0
580.0,560.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
806.0,786.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
849.0,829.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
111.0,91.0,0.0,1.0,1.0,0.0,1.0,0.0,255.0,1.0
1500.0,3661.0,0.0,1.0,1.0,0.0,15.0,0.0,255.0,1.0
1500.0,3661.0,0.0,1.0,1.0,0.0,15.0,0.0,255.0,1.0
1500.0,3661.0,0.0,1.0,1.0,0.0,15.0,0.0,255.0,1.0
793.0,773.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
850.0,830.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
536.0,516.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
794.0,774.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,3661.0,0.0,1.0,1.0,0.0,15.0,0.0,255.0,1.0
806.0,786.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
1500.0,3311.0,0.0,1.0,1.0,0.0,200.0,2.0,255.0,1.0
1500.0,3283.0,0.0,1.0,1.0,0.0,200.0,0.0,255.0,1.0
1500.0,2108.0,0.0,1.0,1.0,0.0,126.0,2.0,255.0,1.0
53.0,33.0,0.0,1.0,1.0,0.0,0.0,0.0,255.0,1.0
851.0,831.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
411.0,391.0,0.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,3915.0,0.0,1.0,1.0,0.0,9.0,0.0,255.0,1.0
362.0,342.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,0.0
1500.0,4014.0,0.0,1.0,1.0,0.0,14.0,0.0,255.0,1.0
829.0,809.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
