ip.len,udp.length,dns.flags.recdesired,dns.flags.recavail,dns.flags.checkdisable,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.qry.name,target
794.0,774.0,0.0,0.0,1.0,0.0,6.0,1.0,22390540.0,0.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
369.0,349.0,0.0,0.0,1.0,0.0,4.0,1.0,38548692.0,0.0
616.0,596.0,0.0,0.0,1.0,0.0,6.0,1.0,11923900.0,0.0
634.0,614.0,0.0,0.0,1.0,0.0,7.0,1.0,66529180.0,0.0
632.0,612.0,0.0,0.0,1.0,0.0,7.0,1.0,12550474.0,0.0
365.0,345.0,0.0,0.0,1.0,0.0,4.0,1.0,19822432.0,0.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,0.0,1.0,88760520.0,1.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
380.0,360.0,0.0,0.0,1.0,0.0,5.0,1.0,67050640.0,0.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,0.0,1.0,88760520.0,1.0
363.0,343.0,0.0,0.0,1.0,0.0,4.0,1.0,47029584.0,0.0
574.0,554.0,0.0,0.0,1.0,0.0,4.0,1.0,87837580.0,0.0
680.0,660.0,0.0,0.0,1.0,0.0,7.0,4.0,92012480.0,0.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
560.0,540.0,0.0,0.0,1.0,0.0,4.0,1.0,5419847.0,0.0
89.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,88760520.0,1.0
142.0,122.0,0.0,0.0,1.0,0.0,2.0,3.0,85503980.0,0.0
363.0,343.0,0.0,0.0,1.0,0.0,4.0,1.0,47638104.0,0.0
129.0,109.0,0.0,0.0,1.0,0.0,2.0,1.0,30128498.0,0.0
78.0,58.0,1.0,1.0,0.0,1.0,0.0,0.0,88760520.0,1.0
712.0,692.0,0.0,0.0,1.0,0.0,7.0,9.0,67642310.0,0.0
