ip.len,udp.length,dns.flags.recdesired,dns.flags.recavail,dns.flags.checkdisable,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.qry.name,dns.qry.type,target
346.0,326.0,0.0,0.0,1.0,0.0,4.0,1.0,87037144.0,12.0,0.0
267.0,247.0,1.0,0.0,0.0,0.0,13.0,1.0,61960000.0,255.0,1.0
1054.0,1034.0,1.0,1.0,0.0,14.0,13.0,23.0,61960000.0,255.0,1.0
394.0,374.0,0.0,0.0,1.0,0.0,4.0,3.0,41499556.0,28.0,0.0
346.0,326.0,0.0,0.0,1.0,0.0,4.0,1.0,41373724.0,12.0,0.0
484.0,464.0,0.0,0.0,1.0,0.0,4.0,1.0,22906268.0,12.0,0.0
896.0,876.0,1.0,1.0,0.0,13.0,13.0,23.0,61960000.0,255.0,1.0
828.0,808.0,0.0,0.0,1.0,0.0,6.0,1.0,89359560.0,12.0,0.0
56.0,36.0,1.0,0.0,0.0,0.0,0.0,1.0,61960000.0,255.0,1.0
371.0,351.0,0.0,0.0,1.0,0.0,5.0,1.0,4334331.0,12.0,0.0
896.0,876.0,1.0,1.0,0.0,13.0,13.0,23.0,61960000.0,255.0,1.0
267.0,247.0,1.0,0.0,0.0,0.0,13.0,1.0,61960000.0,255.0,1.0
531.0,511.0,0.0,0.0,1.0,0.0,6.0,1.0,22692112.0,12.0,0.0
351.0,331.0,0.0,0.0,1.0,0.0,4.0,1.0,14734226.0,12.0,0.0
349.0,329.0,0.0,0.0,0.0,0.0,4.0,1.0,737708.0,12.0,0.0
267.0,247.0,1.0,0.0,0.0,0.0,13.0,1.0,61960000.0,255.0,1.0
1054.0,1034.0,1.0,1.0,0.0,14.0,13.0,23.0,61960000.0,255.0,1.0
824.0,804.0,0.0,0.0,1.0,0.0,6.0,1.0,96536110.0,12.0,0.0
827.0,807.0,0.0,0.0,1.0,0.0,6.0,1.0,31421040.0,12.0,0.0
896.0,876.0,1.0,1.0,0.0,13.0,13.0,23.0,61960000.0,255.0,1.0
1054.0,1034.0,1.0,0.0,0.0,14.0,13.0,23.0,61960000.0,255.0,1.0
1500.0,2139.0,1.0,1.0,0.0,21.0,13.0,23.0,61960000.0,255.0,1.0
627.0,607.0,0.0,0.0,1.0,0.0,7.0,1.0,57656560.0,28.0,0.0
352.0,332.0,0.0,0.0,1.0,0.0,4.0,1.0,51768350.0,12.0,0.0
896.0,876.0,1.0,1.0,0.0,13.0,13.0,23.0,61960000.0,255.0,1.0
267.0,247.0,1.0,0.0,0.0,0.0,13.0,1.0,61960000.0,255.0,1.0
395.0,375.0,0.0,0.0,1.0,0.0,5.0,1.0,97953790.0,12.0,0.0
349.0,329.0,0.0,0.0,1.0,0.0,4.0,1.0,91833770.0,12.0,0.0
1500.0,2139.0,1.0,1.0,0.0,21.0,13.0,23.0,61960000.0,255.0,1.0
351.0,331.0,0.0,0.0,1.0,0.0,4.0,1.0,53533076.0,12.0,0.0
436.0,416.0,1.0,1.0,0.0,13.0,13.0,1.0,61960000.0,255.0,1.0
267.0,247.0,0.0,0.0,1.0,2.0,0.0,1.0,90315080.0,28.0,0.0
1054.0,1034.0,1.0,0.0,0.0,14.0,13.0,23.0,61960000.0,255.0,1.0
